OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
1,03/29/2020 10:00:00 AM,4,21,165,203,241,243,191,117,54,
2,03/30/2020 10:00:00 AM,5,27,188,247,262,274,219,139,53,
3,03/31/2020 10:00:00 AM,6,32,215,290,304,335,260,157,61,
4,04/01/2020 10:00:00 AM,6,39,252,345,372,396,309,187,79,
5,04/02/2020 10:00:00 AM,9,46,286,410,437,471,357,217,98,
6,04/03/2020 10:00:00 AM,9,55,335,485,509,552,423,266,124,
7,04/04/2020 10:00:00 AM,13,65,379,557,575,625,473,299,139,
8,04/05/2020 10:00:00 AM,16,69,422,638,666,736,546,354,162,
9,04/06/2020 10:00:00 AM,16,76,469,718,737,825,597,407,200,
10,04/07/2020 10:00:00 AM,21,82,505,773,795,891,643,445,216,
11,04/08/2020 10:00:00 AM,27,109,625,968,1015,1135,833,550,267,
12,04/09/2020 10:00:00 AM,33,127,701,1076,1145,1282,913,600,308,
13,04/10/2020 10:00:00 AM,36,146,772,1205,1281,1421,1051,685,371,
14,04/11/2020 10:00:00 AM,45,162,855,1317,1413,1565,1141,757,439,
15,04/12/2020 10:00:00 AM,52,172,906,1390,1504,1675,1212,816,498,
16,04/13/2020 10:00:00 AM,63,190,970,1511,1637,1801,1317,877,570,
17,04/14/2020 10:00:00 AM,70,199,1030,1603,1740,1902,1389,935,604,0
18,04/15/2020 10:00:00 AM,74,204,1089,1670,1808,2005,1474,1010,698,0
19,04/16/2020 10:00:00 AM,86,231,1162,1784,1951,2138,1602,1065,765,0
20,04/17/2020 10:00:00 AM,86,242,1227,1882,2088,2287,1710,1171,879,0
21,04/18/2020 10:00:00 AM,89,254,1311,2010,2215,2399,1831,1253,946,0
22,04/19/2020 10:00:00 AM,93,277,1391,2100,2312,2492,1898,1286,981,0
23,04/20/2020 10:00:00 AM,108,300,1488,2245,2442,2632,2015,1385,1069,0
24,04/21/2020 10:00:00 AM,118,318,1543,2329,2539,2712,2083,1432,1119,0
25,04/22/2020 10:00:00 AM,132,337,1595,2415,2611,2805,2156,1512,1212,0
26,04/23/2020 10:00:00 AM,152,369,1708,2604,2786,2960,2269,1593,1296,0
27,04/24/2020 10:00:00 AM,164,395,1833,2757,2931,3094,2383,1680,1379,0
28,04/25/2020 10:00:00 AM,189,441,1982,2963,3155,3288,2548,1766,1434,0
29,04/26/2020 10:00:00 AM,212,463,2097,3109,3270,3414,2651,1837,1528,0
30,04/27/2020 10:00:00 AM,228,490,2217,3264,3436,3556,2758,1916,1622,0
31,04/28/2020 10:00:00 AM,246,512,2293,3367,3555,3675,2835,1973,1657,0
32,04/29/2020 10:00:00 AM,256,539,2393,3511,3696,3792,2927,2035,1700,0
33,04/30/2020 10:00:00 AM,294,573,2525,3684,3871,3939,3010,2083,1763,0
34,05/01/2020 10:00:00 AM,330,652,2742,4025,4226,4242,3215,2181,1859,0
35,05/02/2020 10:00:00 AM,348,701,2868,4207,4377,4400,3350,2270,1952,0
36,05/03/2020 10:00:00 AM,369,743,3043,4388,4534,4532,3459,2338,2056,0
37,05/04/2020 10:00:00 AM,385,769,3184,4550,4696,4687,3569,2424,2144,0
38,05/05/2020 10:00:00 AM,398,791,3287,4687,4841,4820,3636,2465,2192,0
39,05/06/2020 10:00:00 AM,416,834,3474,4894,5031,4996,3734,2524,2260,0
40,05/07/2020 10:00:00 AM,435,898,3681,5161,5269,5161,3860,2592,2317,0
41,05/08/2020 10:00:00 AM,486,969,3848,5376,5468,5311,3972,2666,2389,0
42,05/09/2020 10:00:00 AM,516,1015,3993,5575,5675,5464,4077,2738,2481,0
43,05/10/2020 10:00:00 AM,546,1078,4160,5777,5840,5609,4189,2801,2587,0
44,05/11/2020 10:00:00 AM,570,1131,4299,5952,5989,5707,4255,2840,2630,0
45,05/12/2020 10:00:00 AM,608,1183,4399,6084,6119,5791,4318,2884,2675,0
46,05/13/2020 10:00:00 AM,635,1238,4517,6236,6282,5898,4394,2912,2700,0
47,05/14/2020 10:00:00 AM,671,1299,4685,6475,6440,6033,4487,3004,2809,0
48,05/15/2020 10:00:00 AM,716,1383,4849,6699,6635,6194,4577,3076,2857,0
49,05/16/2020 10:00:00 AM,743,1437,5000,6880,6818,6354,4665,3142,2929,0
50,05/17/2020 10:00:00 AM,778,1480,5143,7072,6958,6484,4744,3189,2956,0
51,05/18/2020 10:00:00 AM,811,1549,5279,7266,7135,6605,4834,3244,3039,0
52,05/19/2020 10:00:00 AM,837,1602,5520,7617,7495,6964,5050,3351,3110,0
53,05/20/2020 10:00:00 AM,887,1660,5623,7777,7640,7066,5134,3388,3148,0
54,05/21/2020 10:00:00 AM,928,1736,5826,8031,7868,7267,5244,3439,3192,0
55,05/22/2020 10:00:00 AM,956,1785,5967,8189,8052,7392,5336,3498,3249,0
56,05/23/2020 10:00:00 AM,989,1852,6146,8425,8264,7556,5428,3541,3294,0
57,05/24/2020 10:00:00 AM,1018,1899,6270,8587,8411,7667,5511,3596,3354,0
58,05/25/2020 10:00:00 AM,1052,1951,6405,8728,8546,7790,5623,3644,3413,0
59,05/26/2020 10:00:00 AM,1068,1979,6480,8807,8644,7888,5678,3681,3462,0
60,05/27/2020 10:00:00 AM,1119,2025,6597,8940,8754,7994,5751,3724,3519,0
61,05/28/2020 10:00:00 AM,1182,2119,6815,9214,8989,8176,5867,3780,3567,0
62,05/29/2020 10:00:00 AM,1224,2191,7033,9460,9212,8354,5996,3877,3641,0
63,05/30/2020 10:00:00 AM,1253,2264,7187,9671,9403,8484,6116,3932,3705,0
64,05/31/2020 10:00:00 AM,1274,2319,7312,9815,9505,8596,6203,3986,3768,0
65,06/01/2020 10:00:00 AM,1294,2351,7397,9938,9598,8671,6261,4014,3803,0
66,06/02/2020 10:00:00 AM,1343,2403,7499,10085,9734,8793,6357,4080,3881,0
67,06/03/2020 10:00:00 AM,1393,2473,7621,10225,9868,8879,6461,4134,3928,0
68,06/04/2020 10:00:00 AM,1422,2538,7768,10375,10033,9006,6536,4190,3990,0
69,06/05/2020 10:00:00 AM,1457,2604,7938,10569,10191,9142,6626,4234,4009,0
70,06/06/2020 10:00:00 AM,1487,2648,8065,10702,10326,9239,6705,4272,4038,0
71,06/07/2020 10:00:00 AM,1506,2689,8144,10803,10415,9298,6751,4304,4063,0
72,06/08/2020 10:00:00 AM,1521,2723,8216,10901,10500,9365,6782,4323,4073,0
73,06/09/2020 10:00:00 AM,1541,2750,8319,10979,10596,9438,6832,4360,4089,0
74,06/10/2020 10:00:00 AM,1573,2791,8408,11089,10698,9522,6879,4389,4116,0
75,06/11/2020 10:00:00 AM,1608,2839,8531,11238,10838,9611,6941,4429,4162,0
76,06/12/2020 10:00:00 AM,1626,2879,8604,11321,10903,9670,6973,4450,4187,0
77,06/13/2020 10:00:00 AM,1720,2958,8710,11417,10998,9746,7036,4485,4235,0
78,06/14/2020 10:00:00 AM,1739,2993,8785,11502,11052,9797,7075,4510,4248,0
79,06/15/2020 10:00:00 AM,1759,3018,8856,11577,11111,9841,7094,4521,4255,0
80,06/16/2020 10:00:00 AM,1773,3036,8930,11655,11183,9894,7125,4546,4267,0
81,06/17/2020 10:00:00 AM,1792,3068,9025,11737,11277,9975,7196,4590,4309,0
82,06/18/2020 10:00:00 AM,1819,3102,9078,11788,11321,9998,7210,4600,4313,0
83,06/19/2020 10:00:00 AM,1831,3123,9121,11838,11368,10058,7238,4627,4344,0
84,06/20/2020 10:00:00 AM,1852,3163,9206,11919,11441,10123,7256,4639,4357,0
85,06/21/2020 10:00:00 AM,1880,3190,9273,11984,11493,10176,7284,4655,4371,0
86,06/22/2020 10:00:00 AM,1893,3216,9350,12029,11535,10224,7307,4667,4382,0
87,06/23/2020 10:00:00 AM,1907,3248,9459,12128,11591,10265,7338,4678,4393,0
88,06/24/2020 10:00:00 AM,1924,3268,9524,12204,11635,10317,7370,4696,4399,0
89,06/25/2020 10:00:00 AM,1937,3307,9616,12290,11708,10376,7408,4717,4418,0
90,06/26/2020 10:00:00 AM,1946,3334,9685,12360,11761,10424,7447,4726,4432,0
91,06/27/2020 10:00:00 AM,1955,3368,9749,12431,11815,10479,7479,4736,4438,0
92,06/28/2020 10:00:00 AM,1978,3408,9825,12484,11866,10521,7504,4748,4443,0
93,06/29/2020 10:00:00 AM,2006,3461,9917,12569,11948,10587,7550,4764,4452,0
94,06/30/2020 10:00:00 AM,2019,3481,9987,12625,11997,10634,7577,4777,4462,0
95,07/01/2020 10:00:00 AM,2042,3508,10056,12692,12054,10683,7619,4791,4473,0
96,07/02/2020 10:00:00 AM,2075,3558,10176,12811,12121,10731,7646,4819,4486,0
97,07/03/2020 10:00:00 AM,2098,3605,10264,12890,12183,10810,7708,4882,4521,0
98,07/04/2020 10:00:00 AM,2113,3637,10349,12969,12240,10864,7745,4893,4531,0
99,07/05/2020 10:00:00 AM,2129,3672,10422,13017,12288,10890,7765,4903,4546,0
